name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
"El Chakra Del Corazón, Anahata - Om En La Clave De F",0ODALQinASCloaogj0xgAF,54.0,Musica Para Meditacion Profunda,0.156,0.11,-24.096999999999998,1,0.0412,0.99,0.991,0.10400000000000001,0.0382,https://p.scdn.co/mp3-preview/807eae10793f26b3cb1bfbd2e39729122c9533a6?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2733e18df25b97dab494159d5ae
Booyah,30BBwDTjwHQf1ixFGaE2o2,54.0,Showtek,0.7390000000000001,0.953,-2.6239999999999997,1,0.133,0.00801,0.0104,0.0623,0.516,,https://i.scdn.co/image/ab67616d0000b273ae8e25c54a2f3265f0308e8c
At The Hop,4LcrHUkRmXG3c0YD5VYutn,54.0,Danny & The Juniors,0.40700000000000003,0.826,-8.29,1,0.0495,0.693,1.57e-05,0.285,0.8909999999999999,,https://i.scdn.co/image/ab67616d0000b27362b3c3aec00c8a1d7e4663ca
A Walk in the Skies,4VJge9qYxmhYEod0CWoEZ7,54.0,Joe Hisaishi,0.366,0.262,-12.798,1,0.0342,0.93,0.8420000000000001,0.0491,0.377,https://p.scdn.co/mp3-preview/1c3bd7e64adc18d0c90e274cb1677314d2f73866?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27362c1f3370811c52ae2d26d24
Don’t Say Goodbye,34jDGAa38HErcEfObppqmt,54.0,Sammy Johnson,0.696,0.759,-4.218,1,0.27699999999999997,0.23600000000000002,0.0,0.0862,0.597,https://p.scdn.co/mp3-preview/d9b387d2b013b24c66fa5d02de94bdbf2e3aeab8?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27322ad52e565912a27afc45284
"Mozart / Arr Grieg: Piano Sonata No. 16 in C Major, K. 545: I. Allegro (Arr. Grieg for 2 Pianos) [Live]",6LKsT6X9BxMK8ePCDNRLal,54.0,Wolfgang Amadeus Mozart,0.401,0.14,-22.695999999999998,1,0.0338,0.99,0.929,0.078,0.326,https://p.scdn.co/mp3-preview/27853ebdf46f86a661b642f8d83bd4c918c99287?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273199a412d28feb967e9ec992e
KEINE LUST,29YDZUNKvBI2I64TvLj1Wt,54.0,Rammstein,0.534,0.892,-4.877,1,0.0537,0.000256,0.0137,0.23199999999999998,0.28,,https://i.scdn.co/image/ab67616d0000b273136f94926d47c4986e50c877
Don't Lean on Me,1X6vl2Wy5yY708C8EfRUCS,54.0,The Amity Affliction,0.45,0.986,-3.5439999999999996,1,0.14400000000000002,9.240000000000001e-05,0.0,0.183,0.309,https://p.scdn.co/mp3-preview/7a29833f3c4043c54ca292409b18d3a197a7b1ff?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273b114fcb563aee544e5664e58
Your Silent Face - 2015 Remaster,0eKRwDBVWxCXWpLYFYrbd1,54.0,New Order,0.642,0.778,-10.087,1,0.0313,0.009340000000000001,0.633,0.151,0.7929999999999999,https://p.scdn.co/mp3-preview/9a6150a73e67133e1e6072d670c10dbccf47a2a5?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273a0bb93884823982d57cb2004
Acid Rain,7yOHHVY8AhsNt297yEcHVE,54.0,Avenged Sevenfold,0.23199999999999998,0.5820000000000001,-9.335,0,0.0377,0.00728,4.270000000000001e-05,0.111,0.0763,https://p.scdn.co/mp3-preview/e176bf647a310e2bf3618b4dfa8029e829a10509?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2730ea1ecb2d5271c2db402b0c2
Still Here,7jheemFmNF2vXAfhwwKCrw,54.0,Digital Daggers,0.511,0.6940000000000001,-7.047999999999999,0,0.0271,0.000545,0.000156,0.0667,0.272,https://p.scdn.co/mp3-preview/1b43e47fafa7234acb7149eef6e92709873f3281?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27327b78c9c4ce6b03acd3d88ec
Loco,1tQYNmqyChbjXyZqOkto7s,54.0,Alejandro Fernández,0.61,0.265,-12.735999999999999,1,0.0339,0.857,0.00158,0.111,0.415,https://p.scdn.co/mp3-preview/0313025fd6b69331db20a709374b0bad6e639cd8?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d4b110738e6ce655a4cc0350
Spend Some Time,1mHRciKUBSGQml3mQFGMsf,54.0,Eminem,0.695,0.61,-5.132999999999999,1,0.228,0.0561,1.1900000000000001e-05,0.12300000000000001,0.133,,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023
