name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
All I Want,0NlGoUyOJSuSHmngoibVAs,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
i love you,6CcJMwBtXByIz4zQLzFkKc,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Billie Jean,5ChkMS8OtdzJeqyybCc9R5,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
ocean eyes,7hDVYcQq6MxkdJGweuCtl9,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
forget me too (feat. Halsey),1VSuFS7PahCN3SWbOcQ98m,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Without Me,7lQ8MOhq6IN2w8EYcFNSUk,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Silence,7vGuf3Y35N4wmASOKLUVVU,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Life's A Mess (feat. Halsey),5wWAwzGp2OaaoIkwcz6wZs,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Yellow,3AJwUDP919kvQ9QcozQPxg,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
BLIND (feat. Young Thug),2T5NBwKRySiCR78vVk08vr,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20 Min,0uxSUdBrJy9Un0EYoBowng,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
GO (feat. Juice WRLD),2rPHUAeUPbNgTmK18FPTiZ,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Girls in the Hood,6WbTTAGKrQtCQvmc5BuYfh,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Let You Down,52okn5MNA47tk87PeZJLEL,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Blastoff (feat. Juice Wrld & Trippie Redd),2rFsFjq0D9JAmc0APpCO6P,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
