name,spotify_id,popularity
Fantasias,6mAN61JH0dzyZpWslS11jy,81.0
Losing My Religion,31AOj9sFz2gM0O3hMARRBx,81.0
I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,81.0
Save That Shit,0S0vWvyZ6Rc79TXkWxT9QA,81.0
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,81.0
Call You Mine,2oejEp50ZzPuQTQ6v54Evp,81.0
you were good to me,4CxFN5zON70B3VOPBYbd6P,81.0
Californication,48UPSzbZjgc449aqz8bxox,81.0
Call You Mine,2oejEp50ZzPuQTQ6v54Evp,81.0
Moral of the Story,2nC3QhMI9reBIOWutbU3Tj,81.0
China,2ksOAxtIxY8yElEWw8RhgK,81.0
South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,81.0
Moral of the Story,2nC3QhMI9reBIOWutbU3Tj,81.0
I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,81.0
"Alone, Pt. II",0bMbDctzMmTyK2j74j3nF3,81.0
Happiest Year,5kcvBnt6DPX3AMEsCx1qDh,81.0
My Oh My (feat. DaBaby),3yOlyBJuViE2YSGn3nVE1K,81.0
Legends Never Die,1FpVJ7HpZInE2GvhVE2TwT,81.0
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,81.0
Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,81.0
CITY OF ANGELS,6ap9lSRJ0iLriGLqoJ44cq,81.0
The Nights,0ct6r3EGTcMLPtrXHDvVjc,81.0
Happiest Year,5kcvBnt6DPX3AMEsCx1qDh,81.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,81.0
夜に駆ける,3dPtXHP0oXQ4HCWHsOA9js,81.0
My Oh My (feat. DaBaby),3yOlyBJuViE2YSGn3nVE1K,81.0
Hit Different,7Bar1kLTmsRmH6FCKKMEyU,81.0
Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,81.0
Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,81.0
idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,81.0
Dance Monkey,5ZULALImTm80tzUbYQYM9d,81.0
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,80.0
ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,80.0
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,80.0
November Rain,3YRCqOhFifThpSRFJ1VWFM,80.0
Empty,41MCdlvXOl62B7Kv86Bb1v,80.0
you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,80.0
witchblades,1Z8gpnzgTFQKAwmV43iLBB,80.0
Takeaway,3g0mEQx3NTanacLseoP0Gw,80.0
Golden,45S5WTQEGOB1VHr1Q4FuPl,80.0
bury a friend,4SSnFejRGlZikf02HLewEF,80.0
Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,80.0
Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,80.0
Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb,80.0
emotions,5ls62WNKHUUrdF3r1cv83T,80.0
Paradise,6nek1Nin9q48AVZcWs9e9D,80.0
A Thousand Years,6lanRgr6wXibZr8KgzXxBl,80.0
Many Men,3CDVMejYHnB1SkEEx0T1N4,80.0
Someone To You,14BH4qO7pgCmIe6mgLKOK3,80.0
